"","Time","TimeEDT","TemperatureF","Dew_PointF","Humidity","Sea_Level_PressureIn","VisibilityMPH","Wind_Direction","Wind_SpeedMPH","Gust_SpeedMPH","PrecipitationIn","Events","Conditions","WindDirDegrees","DateUTC"
"1",2016-10-01 00:05:00,"12:05 AM",57.9,57,97,30.35,10,"NE","15","-","0.00","Rain","Light Rain",50,"2016-10-01 04:05:00"
"2",2016-10-01 00:29:00,"12:29 AM",57.9,57,97,30.34,10,"NE","15","-","0.00","","Overcast",50,"2016-10-01 04:29:00"
"3",2016-10-01 00:54:00,"12:54 AM",57.9,57,97,30.34,6,"NE","18.4","-","0.00","Rain","Light Rain",50,"2016-10-01 04:54:00"
"4",2016-10-01 01:16:00,"1:16 AM",57.9,57,97,30.34,2.5,"NE","19.6","-","0.01","Rain","Rain",50,"2016-10-01 05:16:00"
"5",2016-10-01 01:23:00,"1:23 AM",57.9,57,97,30.34,3,"NE","18.4","-","0.02","Rain","Light Rain",50,"2016-10-01 05:23:00"
"6",2016-10-01 01:54:00,"1:54 AM",57.9,57,97,30.33,2.5,"NE","16.1","-","0.08","Rain","Heavy Rain",50,"2016-10-01 05:54:00"
"7",2016-10-01 02:03:00,"2:03 AM",57.9,57,97,30.33,4,"ENE","18.4","-","0.01","Rain","Light Rain",60,"2016-10-01 06:03:00"
"8",2016-10-01 02:10:00,"2:10 AM",57.9,57,97,30.33,4,"NE","17.3","-","0.02","Rain","Light Rain",50,"2016-10-01 06:10:00"
"9",2016-10-01 02:43:00,"2:43 AM",57.9,57,97,30.32,6,"NE","17.3","24.2","0.04","Rain","Light Rain",50,"2016-10-01 06:43:00"
"10",2016-10-01 02:54:00,"2:54 AM",57.9,57,97,30.31,5,"NE","16.1","-","0.04","Rain","Light Rain",50,"2016-10-01 06:54:00"
"11",2016-10-01 03:21:00,"3:21 AM",57,57,100,30.31,3,"NE","19.6","-","0.01","Rain","Light Rain",50,"2016-10-01 07:21:00"
"12",2016-10-01 03:54:00,"3:54 AM",57,57,100,30.3,4,"NE","18.4","27.6","0.02","Rain","Light Rain",50,"2016-10-01 07:54:00"
"13",2016-10-01 04:16:00,"4:16 AM",57,57,100,30.3,6,"NE","18.4","-","0.01","Rain","Light Rain",50,"2016-10-01 08:16:00"
"14",2016-10-01 04:54:00,"4:54 AM",57,57,100,30.3,2.5,"NE","15","-","0.02","Rain","Light Rain",50,"2016-10-01 08:54:00"
"15",2016-10-01 05:19:00,"5:19 AM",57,57,100,30.3,4,"NE","17.3","-","0.07","Rain","Light Rain",50,"2016-10-01 09:19:00"
"16",2016-10-01 05:54:00,"5:54 AM",57,57,100,30.31,2.5,"NE","18.4","24.2","0.09","Rain","Light Rain",50,"2016-10-01 09:54:00"
"17",2016-10-01 06:17:00,"6:17 AM",57,57,100,30.31,3,"NE","16.1","-","0.02","Rain","Light Rain",40,"2016-10-01 10:17:00"
"18",2016-10-01 06:30:00,"6:30 AM",57,57,100,30.31,2.5,"NE","13.8","23.0","0.04","Rain","Light Rain",40,"2016-10-01 10:30:00"
"19",2016-10-01 06:39:00,"6:39 AM",57,57,100,30.31,3,"NE","17.3","-","0.05","Rain","Light Rain",40,"2016-10-01 10:39:00"
"20",2016-10-01 06:54:00,"6:54 AM",57,57,100,30.3,4,"NE","15","24.2","0.05","Rain","Light Rain",40,"2016-10-01 10:54:00"
"21",2016-10-01 07:47:00,"7:47 AM",55.9,55.9,100,30.31,2,"NE","13.8","-","0.12","Rain","Heavy Rain",40,"2016-10-01 11:47:00"
"22",2016-10-01 07:54:00,"7:54 AM",55.9,55.9,100,30.31,2.5,"NE","12.7","-","0.15","Rain","Heavy Rain",40,"2016-10-01 11:54:00"
"23",2016-10-01 08:04:00,"8:04 AM",55.9,55.9,100,30.31,4,"NNE","16.1","-","0.02","Rain","Light Rain",30,"2016-10-01 12:04:00"
"24",2016-10-01 08:51:00,"8:51 AM",55.9,55.9,100,30.31,4,"NNE","15","-","0.07","Rain","Heavy Rain",30,"2016-10-01 12:51:00"
"25",2016-10-01 08:58:00,"8:58 AM",55.9,55.9,100,30.31,2.5,"NNE","16.1","-","0.01","Rain","Rain",30,"2016-10-01 12:58:00"
"26",2016-10-01 09:24:00,"9:24 AM",55.9,55.9,100,30.31,3,"NE","16.1","-","0.03","Rain","Rain",40,"2016-10-01 13:24:00"
"27",2016-10-01 09:54:00,"9:54 AM",55.9,55.9,100,30.3,3,"NNE","16.1","-","0.13","Rain","Light Rain",30,"2016-10-01 13:54:00"
"28",2016-10-01 10:08:00,"10:08 AM",57,55.9,96,30.29,8,"NNE","15","-","0.00","Rain","Light Rain",30,"2016-10-01 14:08:00"
"29",2016-10-01 10:54:00,"10:54 AM",57,57,100,30.29,5,"NE","16.1","-","0.00","","Overcast",40,"2016-10-01 14:54:00"
"30",2016-10-01 11:02:00,"11:02 AM",57,57,100,30.29,5,"NNE","15","-","N/A","","Overcast",30,"2016-10-01 15:02:00"
"31",2016-10-01 11:54:00,"11:54 AM",57.9,57,97,30.28,2.5,"NNE","13.8","-","0.00","","Light Drizzle",30,"2016-10-01 15:54:00"
"32",2016-10-01 12:26:00,"12:26 PM",57.9,57.9,100,30.27,1.5,"NE","13.8","-","0.01","Rain","Light Rain",40,"2016-10-01 16:26:00"
"33",2016-10-01 12:54:00,"12:54 PM",57.9,57.9,100,30.26,1.5,"NNE","16.1","-","0.01","","Light Drizzle",30,"2016-10-01 16:54:00"
"34",2016-10-01 13:54:00,"1:54 PM",57.9,57.9,100,30.24,1,"NNE","15","-","0.01","Rain","Light Rain",20,"2016-10-01 17:54:00"
"35",2016-10-01 14:54:00,"2:54 PM",57,57,100,30.24,1,"NNE","16.1","-","0.02","Rain","Light Rain",20,"2016-10-01 18:54:00"
"36",2016-10-01 15:54:00,"3:54 PM",55.9,55.9,100,30.24,1,"NNE","17.3","-","0.00","Rain","Light Rain",20,"2016-10-01 19:54:00"
"37",2016-10-01 16:54:00,"4:54 PM",55,55,100,30.24,1,"NNE","15","-","0.00","","Light Drizzle",20,"2016-10-01 20:54:00"
"38",2016-10-01 17:54:00,"5:54 PM",55,55,100,30.21,1,"NNE","18.4","-","0.01","","Overcast",20,"2016-10-01 21:54:00"
"39",2016-10-01 18:54:00,"6:54 PM",55.9,55,97,30.22,1,"NNE","15","-","0.00","Rain","Light Rain",20,"2016-10-01 22:54:00"
"40",2016-10-01 18:57:00,"6:57 PM",55.9,55,97,30.21,3,"NNE","16.1","-","0.00","","Overcast",30,"2016-10-01 22:57:00"
"41",2016-10-01 19:17:00,"7:17 PM",55.9,55,97,30.2,2.5,"NNE","16.1","-","0.00","","Light Drizzle",20,"2016-10-01 23:17:00"
"42",2016-10-01 19:54:00,"7:54 PM",55.9,55.9,100,30.2,3,"NE","16.1","-","0.00","Rain","Light Rain",40,"2016-10-01 23:54:00"
"43",2016-10-01 20:54:00,"8:54 PM",55,54,96,30.21,3,"NNE","20.7","29.9","0.01","","Overcast",30,"2016-10-02 00:54:00"
