"Variables","Coefficient"
"Constant",641.715823758539
"as.factor(VisibilityMPH)0.1",43.6826565349033
"as.factor(VisibilityMPH)0.2",44.6568047902316
"as.factor(VisibilityMPH)0.5",23.2179033676792
"as.factor(VisibilityMPH)0.8",47.8193306357485
"as.factor(VisibilityMPH)1",49.3761700161744
"as.factor(VisibilityMPH)1.2",63.2277938197225
"as.factor(VisibilityMPH)1.5",56.1148479360808
"as.factor(VisibilityMPH)1.8",19.5410818589012
"as.factor(VisibilityMPH)2",49.5620037551634
"as.factor(VisibilityMPH)2.5",33.2227624996206
"as.factor(VisibilityMPH)3",46.1382966446566
"as.factor(VisibilityMPH)4",52.922720691242
"as.factor(VisibilityMPH)5",47.2385275775883
"as.factor(VisibilityMPH)6",50.500826303616
"as.factor(VisibilityMPH)7",43.1910256429415
"as.factor(VisibilityMPH)8",39.7513493272651
"as.factor(VisibilityMPH)9",32.1163201104912
"as.factor(VisibilityMPH)10",39.9257642622466
"Sea_Level_PressureIn",-14.4505185260393
"WindDirDegrees",-0.0403974512199867
"Wind_SpeedMPH10.4",26.4037682017259
"Wind_SpeedMPH11.5",23.452783934461
"Wind_SpeedMPH12.7",22.9751197156563
"Wind_SpeedMPH13.8",27.7862153126331
"Wind_SpeedMPH15",30.5167428222903
"Wind_SpeedMPH15.0",42.9858733386609
"Wind_SpeedMPH16.1",27.5308393080912
"Wind_SpeedMPH17.3",20.7168703913884
"Wind_SpeedMPH18.4",26.1019155084231
"Wind_SpeedMPH19.6",23.8453113295349
"Wind_SpeedMPH20.7",22.3577046280183
"Wind_SpeedMPH21.9",14.849755918556
"Wind_SpeedMPH23",23.300671324741
"Wind_SpeedMPH23.0",43.170098233137
"Wind_SpeedMPH24.2",4.49296651379899
"Wind_SpeedMPH25.3",27.1052228292665
"Wind_SpeedMPH26.5",38.7213696961006
"Wind_SpeedMPH27.6",43.8219356264974
"Wind_SpeedMPH28.8",32.7115288249048
"Wind_SpeedMPH29.9",37.7614112965263
"Wind_SpeedMPH3.5",14.6001914328799
