"","Date","hour","Account","month","day","year","kWh","Day.of.Week","Weekday","Peakhour","Temperature","Dew_PointF","Humidity","Sea_Level_PressureIn","VisibilityMPH","Wind_Direction","Wind_SpeedMPH","Conditions","WindDirDegrees"
"1","2014-01-01"," 0","26908650026","1","1","2014","132.37000","3","1","0","23.0","  5.0","46","30.20","   10.0","WNW","8.1","Clear","290"
"2","2014-01-01"," 1","26908650026","1","1","2014","132.72000","3","1","0","21.9","  3.9","46","30.23","   10.0","WNW","11.5","Partly Cloudy","290"
"3","2014-01-01"," 2","26908650026","1","1","2014","129.03000","3","1","0","21.9","  3.9","46","30.25","   10.0","WSW","12.7","Clear","240"
"4","2014-01-01"," 3","26908650026","1","1","2014","125.76000","3","1","0","21.9","  3.0","44","30.27","   10.0","WSW","11.5","Clear","250"
"5","2014-01-01"," 4","26908650026","1","1","2014","129.39000","3","1","0","21.0","  3.0","46","30.29","   10.0","West","9.2","Clear","260"
"6","2014-01-01"," 5","26908650026","1","1","2014","132.51000","3","1","0","21.0","  3.0","46","30.30","   10.0","West","11.5","Clear","270"
"7","2014-01-01"," 6","26908650026","1","1","2014","134.93000","3","1","0","21.0","  3.9","48","30.32","   10.0","WSW","10.4","Scattered Clouds","250"
"8","2014-01-01"," 7","26908650026","1","1","2014","122.81000","3","1","1","19.9","  5.0","52","30.35","   10.0","SW","10.4","Scattered Clouds","230"
"9","2014-01-01"," 8","26908650026","1","1","2014","119.96000","3","1","1","23.0","  6.1","48","30.37","   10.0","West","10.4","Scattered Clouds","260"
"10","2014-01-01"," 9","26908650026","1","1","2014","123.16000","3","1","1","24.1","  5.0","44","30.39","   10.0","WNW","16.1","Scattered Clouds","300"
"11","2014-01-01","10","26908650026","1","1","2014","129.11000","3","1","1","26.1","  5.0","41","30.35","   10.0","West","12.7","Partly Cloudy","280"
"12","2014-01-01","11","26908650026","1","1","2014","125.83000","3","1","1","26.1","  5.0","41","30.34","   10.0","West","13.8","Mostly Cloudy","260"
"13","2014-01-01","12","26908650026","1","1","2014","120.91000","3","1","1","27.0","  5.0","39","30.33","   10.0","West","13.8","Scattered Clouds","280"
"14","2014-01-01","13","26908650026","1","1","2014","125.20000","3","1","1","28.0","  3.9","36","30.33","   10.0","WNW","8.1","Mostly Cloudy","300"
"15","2014-01-01","14","26908650026","1","1","2014","128.59000","3","1","1","27.0","  3.9","37","30.33","   10.0","West","10.4","Scattered Clouds","270"
"16","2014-01-01","15","26908650026","1","1","2014","143.17000","3","1","1","27.0","  5.0","39","30.35","   10.0","WNW","10.4","Mostly Cloudy","290"
"17","2014-01-01","16","26908650026","1","1","2014","140.00000","3","1","1","26.1","  5.0","41","30.35","   10.0","NNW","6.9","Mostly Cloudy","340"
"18","2014-01-01","17","26908650026","1","1","2014","138.63999","3","1","1","25.0","  5.0","43","30.37","   10.0","NW","9.2","Scattered Clouds","320"
"19","2014-01-01","18","26908650026","1","1","2014","143.20000","3","1","1","24.1","  6.1","46","30.37","   10.0","North","4.6","Partly Cloudy"," 10"
"20","2014-01-01","19","26908650026","1","1","2014","147.12000","3","1","0","24.1","  5.0","44","30.38","   10.0","North","6.9","Partly Cloudy","360"
"21","2014-01-01","20","26908650026","1","1","2014","147.83000","3","1","0","23.0","  5.0","46","30.38","   10.0","North","4.6","Scattered Clouds","350"
"22","2014-01-01","21","26908650026","1","1","2014","134.88000","3","1","0","21.9","  7.0","53","30.39","   10.0","NNE","3.5","Mostly Cloudy"," 20"
"23","2014-01-01","22","26908650026","1","1","2014","128.91000","3","1","0","23.0","  6.1","48","30.40","   10.0","North","3.5","Overcast","360"
"24","2014-01-01","23","26908650026","1","1","2014","124.49999","3","1","0","23.0","  7.0","50","30.38","   10.0","NNE","6.9","Overcast"," 20"
"25","2014-01-02"," 0","26908650026","1","2","2014","121.13000","4","1","0","21.0"," 10.9","65","30.36","    4.0","NNE","6.9","Light Snow"," 20"
"26","2014-01-02"," 1","26908650026","1","2","2014","125.78000","4","1","0","19.9"," 15.1","81","30.36","    1.8","NNE","8.1","Light Snow"," 20"
"27","2014-01-02"," 2","26908650026","1","2","2014","128.33000","4","1","0","19.0"," 14.0","81","30.35","    2.0","NNE","9.2","Light Snow"," 20"
"28","2014-01-02"," 3","26908650026","1","2","2014","130.99000","4","1","0","19.0"," 14.0","81","30.34","    1.5","North","9.2","Light Snow"," 10"
"29","2014-01-02"," 4","26908650026","1","2","2014","222.73000","4","1","0","19.0"," 14.0","81","30.32","    2.5","North","10.4","Light Snow"," 10"
