,Rank,InstitutionName,TotalAssets,City,State,Date
2,1,JPMORGAN CHASE & CO. (1039502),"$2,466,096,000 ",NEW YORK,NY,6/30/2016
3,2,BANK OF AMERICA CORPORATION (1073757),"$2,189,811,000 ",CHARLOTTE,NC,6/30/2016
4,3,WELLS FARGO & COMPANY (1120754),"$1,889,235,000 ",SAN FRANCISCO,CA,6/30/2016
5,4,CITIGROUP INC. (1951350),"$1,818,771,000 ",NEW YORK,NY,6/30/2016
6,5,"GOLDMAN SACHS GROUP, INC., THE (2380443)","$896,870,000 ",NEW YORK,NY,6/30/2016
7,6,MORGAN STANLEY (2162966),"$828,873,000 ",NEW YORK,NY,6/30/2016
8,7,U.S. BANCORP (1119794),"$438,463,000 ",MINNEAPOLIS,MN,6/30/2016
9,8,"BANK OF NEW YORK MELLON CORPORATION, THE (3587146)","$372,351,000 ",NEW YORK,NY,6/30/2016
10,9,"PNC FINANCIAL SERVICES GROUP, INC., THE (1069778)","$361,528,406 ",PITTSBURGH,PA,6/30/2016
11,10,CAPITAL ONE FINANCIAL CORPORATION (2277860),"$339,247,718 ",MCLEAN,VA,6/30/2016
12,11,HSBC NORTH AMERICA HOLDINGS INC. (3232316),"$295,534,689 ",NEW YORK,NY,6/30/2016
13,12,TD GROUP US HOLDINGS LLC (3606542),"$276,317,370 ",WILMINGTON,DE,6/30/2016
14,13,TEACHERS INSURANCE & ANNUITY ASSOCIATION OF AMERICA (1607170),"$276,045,408 ",NEW YORK,NY,6/30/2016
15,14,STATE STREET CORPORATION (1111435),"$255,396,733 ",BOSTON,MA,6/30/2016
16,15,BB&T CORPORATION (1074156),"$221,858,615 ",WINSTON SALEM,NC,6/30/2016
17,16,"SUNTRUST BANKS, INC. (1131787)","$199,276,480 ",ATLANTA,GA,6/30/2016
18,17,"CHARLES SCHWAB CORPORATION, THE (1026632)","$198,052,000 ",SAN FRANCISCO,CA,6/30/2016
19,18,AMERICAN EXPRESS COMPANY (1275216),"$159,632,000 ",NEW YORK,NY,6/30/2016
20,19,ALLY FINANCIAL INC. (1562859),"$157,931,000 ",DETROIT,MI,6/30/2016
21,20,RBC USA HOLDCO CORPORATION (3226762),"$151,710,605 ",NEW YORK,NY,6/30/2016
22,21,"CITIZENS FINANCIAL GROUP, INC. (1132449)","$145,568,297 ",PROVIDENCE,RI,6/30/2016
23,22,UNITED SERVICES AUTOMOBILE ASSOCIATION (1447376),"$144,819,412 ",SAN ANTONIO,TX,6/30/2016
24,23,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY (3840207),"$143,801,553 ",BLOOMINGTON,IL,6/30/2016
25,24,FIFTH THIRD BANCORP (1070345),"$143,625,325 ",CINCINNATI,OH,6/30/2016
26,25,BMO FINANCIAL CORP. (1245415),"$132,007,952 ",WILMINGTON,DE,6/30/2016
27,26,"SANTANDER HOLDINGS USA, INC. (3981856)","$126,502,203 ",BOSTON,MA,6/30/2016
28,27,REGIONS FINANCIAL CORPORATION (3242838),"$126,378,482 ",BIRMINGHAM,AL,6/30/2016
29,28,M&T BANK CORPORATION (1037003),"$123,820,584 ",BUFFALO,NY,6/30/2016
30,29,NORTHERN TRUST CORPORATION (1199611),"$121,509,559 ",CHICAGO,IL,6/30/2016
31,30,MUFG AMERICAS HOLDINGS CORPORATION (1378434),"$117,205,079 ",NEW YORK,NY,6/30/2016
32,31,KEYCORP (1068025),"$101,406,977 ",CLEVELAND,OH,6/30/2016
33,32,"BBVA COMPASS BANCSHARES, INC. (1078529)","$91,753,156 ",HOUSTON,TX,6/30/2016
34,33,DISCOVER FINANCIAL SERVICES (3846375),"$87,511,328 ",RIVERWOODS,IL,6/30/2016
35,34,SYNCHRONY FINANCIAL (4504654),"$82,384,173 ",STAMFORD,CT,6/30/2016
36,35,BANCWEST HOLDING INC. (4989420),"$80,624,408 ",SAN FRANCISCO,CA,6/30/2016
37,36,HUNTINGTON BANCSHARES INCORPORATED (1068191),"$73,954,016 ",COLUMBUS,OH,6/30/2016
38,37,COMERICA INCORPORATED (1199844),"$71,440,155 ",DALLAS,TX,6/30/2016
39,38,CIT GROUP INC. (1036967),"$66,783,624 ",LIVINGSTON,NJ,6/30/2016
40,39,ZIONS BANCORPORATION (1027004),"$59,642,992 ",SALT LAKE CITY,UT,6/30/2016
41,40,DEUTSCHE BANK TRUST CORPORATION (1032473),"$54,629,000 ",NEW YORK,NY,6/30/2016
42,41,E*TRADE FINANCIAL CORPORATION (3412583),"$49,202,038 ",NEW YORK,NY,6/30/2016
43,42,"NEW YORK COMMUNITY BANCORP, INC. (2132932)","$49,035,747 ",WESTBURY,NY,6/30/2016
44,43,SVB FINANCIAL GROUP (1031449),"$43,147,945 ",SANTA CLARA,CA,6/30/2016
45,44,"PEOPLE'S UNITED FINANCIAL, INC. (3650152)","$40,120,118 ",BRIDGEPORT,CT,6/30/2016
46,45,"FIRST NIAGARA FINANCIAL GROUP, INC. (2648693)","$39,998,293 ",BUFFALO,NY,6/30/2016
47,46,MUTUAL OF OMAHA INSURANCE COMPANY (1583836),"$38,009,856 ",OMAHA,NE,6/30/2016
48,47,"POPULAR, INC. (1129382)","$37,606,000 ",SAN JUAN,PR,6/30/2016
49,48,NATIONWIDE MUTUAL INSURANCE COMPANY (3828072),"$36,667,697 ",COLUMBUS,OH,6/30/2016
50,49,JOHN DEERE CAPITAL CORPORATION (3843075),"$35,453,189 ",RENO,NV,6/30/2016
51,50,"EAST WEST BANCORP, INC. (2734233)","$32,952,138 ",PASADENA,CA,6/30/2016
52,51,"FIRST CITIZENS BANCSHARES, INC. (1075612)","$32,230,403 ",RALEIGH,NC,6/30/2016
53,52,BOK FINANCIAL CORPORATION (1883693),"$32,050,291 ",TULSA,OK,6/30/2016
54,53,BARCLAYS DELAWARE HOLDINGS LLC (2938451),"$29,672,671 ",WILMINGTON,DE,6/30/2016
55,54,SYNOVUS FINANCIAL CORP. (1078846),"$29,459,691 ",COLUMBUS,GA,6/30/2016
56,55,ASSOCIATED BANC-CORP (1199563),"$29,038,699 ",GREEN BAY,WI,6/30/2016
57,56,"CULLEN/FROST BANKERS, INC. (1102367)","$29,014,585 ",SAN ANTONIO,TX,6/30/2016
58,57,"RAYMOND JAMES FINANCIAL, INC. (3815157)","$28,841,247 ",SAINT PETERSBURG,FL,6/30/2016
59,58,FIRST HORIZON NATIONAL CORPORATION (1094640),"$27,541,899 ",MEMPHIS,TN,6/30/2016
60,59,EVERBANK FINANCIAL CORP (3838857),"$27,354,310 ",JACKSONVILLE,FL,6/30/2016
61,60,"BANKUNITED, INC. (4028712)","$26,309,192 ",MIAMI LAKES,FL,6/30/2016
62,61,FIRSTMERIT CORPORATION (1070804),"$26,153,691 ",AKRON,OH,6/30/2016
63,62,"UTRECHT-AMERICA HOLDINGS, INC. (2307280)","$25,363,698 ",NEW YORK,NY,6/30/2016
64,63,WEBSTER FINANCIAL CORPORATION (1145476),"$25,131,298 ",WATERBURY,CT,6/30/2016
65,64,"COMMERCE BANCSHARES, INC. (1049341)","$24,726,507 ",KANSAS CITY,MO,6/30/2016
66,65,WINTRUST FINANCIAL CORPORATION (2260406),"$24,427,295 ",ROSEMONT,IL,6/30/2016
67,66,UMPQUA HOLDINGS CORPORATION (2747644),"$24,132,600 ",PORTLAND,OR,6/30/2016
68,67,HANCOCK HOLDING COMPANY (1086533),"$23,071,656 ",GULFPORT,MS,6/30/2016
69,68,"SCOTTRADE FINANCIAL SERVICES, INC. (3242735)","$22,466,924 ",TOWN AND COUNTRY,MO,6/30/2016
70,69,"PROSPERITY BANCSHARES, INC. (1109599)","$21,880,979 ",HOUSTON,TX,6/30/2016
71,70,VALLEY NATIONAL BANCORP (1048773),"$21,809,738 ",WAYNE,NJ,6/30/2016
72,71,"INVESTORS BANCORP, INC. (2477754)","$21,733,831 ",SHORT HILLS,NJ,6/30/2016
73,72,F.N.B. CORPORATION (3005332),"$21,214,967 ",PITTSBURGH,PA,6/30/2016
74,73,PACWEST BANCORP (2875332),"$21,147,143 ",BEVERLY HILLS,CA,6/30/2016
75,74,TCF FINANCIAL CORPORATION (2389941),"$21,081,736 ",WAYZATA,MN,6/30/2016
76,75,"TEXAS CAPITAL BANCSHARES, INC. (2706735)","$21,081,024 ",DALLAS,TX,6/30/2016
77,76,"MACY'S, INC. (4103310)","$20,197,613 ",CINCINNATI,OH,6/30/2016
78,77,IBERIABANK CORPORATION (2291914),"$20,160,855 ",LAFAYETTE,LA,6/30/2016
79,78,UMB FINANCIAL CORPORATION (1049828),"$19,734,076 ",KANSAS CITY,MO,6/30/2016
80,79,"FIRST HAWAIIAN, INC. (1025608)","$19,052,593 ",HONOLULU,HI,6/30/2016
81,80,"FIRST NATIONAL OF NEBRASKA, INC. (1020902)","$18,783,090 ",OMAHA,NE,6/30/2016
82,81,FULTON FINANCIAL CORPORATION (1117129),"$18,433,910 ",LANCASTER,PA,6/30/2016
83,82,"PRIVATEBANCORP, INC. (1839319)","$18,169,191 ",CHICAGO,IL,6/30/2016
84,83,WESTERN ALLIANCE BANCORPORATION (2349815),"$16,728,767 ",PHOENIX,AZ,6/30/2016
85,84,"ARVEST BANK GROUP, INC. (1095674)","$16,634,738 ",BENTONVILLE,AR,6/30/2016
86,85,FIRSTBANK HOLDING COMPANY (1060627),"$16,235,257 ",LAKEWOOD,CO,6/30/2016
87,86,"MB FINANCIAL, INC. (1090987)","$15,995,790 ",CHICAGO,IL,6/30/2016
88,87,BANK OF HAWAII CORPORATION (1025309),"$15,916,031 ",HONOLULU,HI,6/30/2016
89,88,STIFEL FINANCIAL CORP. (3063622),"$15,248,777 ",SAINT LOUIS,MO,6/30/2016
90,89,MODERN WOODMEN OF AMERICA (3057395),"$15,097,370 ",ROCK ISLAND,IL,6/30/2016
91,90,ASTORIA FINANCIAL CORPORATION (2504128),"$15,017,071 ",LAKE SUCCESS,NY,6/30/2016
92,91,"WASHINGTON FEDERAL, INC. (3065617)","$14,821,600 ",SEATTLE,WA,6/30/2016
93,92,OLD NATIONAL BANCORP (1098303),"$14,420,599 ",EVANSVILLE,IN,6/30/2016
94,93,"UNITED BANKSHARES, INC. (1076217)","$14,338,012 ",CHARLESTON,WV,6/30/2016
95,94,"BANCORPSOUTH, INC. (1097614)","$14,130,157 ",TUPELO,MS,6/30/2016
96,95,"FLAGSTAR BANCORP, INC. (3852022)","$13,723,711 ",TROY,MI,6/30/2016
97,96,CATHAY GENERAL BANCORP (1843080),"$13,493,177 ",LOS ANGELES,CA,6/30/2016
98,97,STERLING BANCORP (3083291),"$13,089,172 ",MONTEBELLO,NY,6/30/2016
99,98,"HILLTOP HOLDINGS, INC (3838727)","$13,077,902 ",DALLAS,TX,6/30/2016
100,99,TRUSTMARK CORPORATION (1079562),"$13,030,349 ",JACKSON,MS,6/30/2016
101,100,"APPLE FINANCIAL HOLDINGS, INC. (3446412)","$12,884,030 ",NEW YORK,NY,6/30/2016
102,101,"THIRD FEDERAL SAVINGS AND LOAN OF CLEVELAND, MHC (3828036)","$12,624,307 ",CLEVELAND,OH,6/30/2016
103,102,FIRST BANCORP (2744894),"$12,508,702 ",SAN JUAN,PR,6/30/2016
104,103,MIDLAND FINANCIAL CO. (2568278),"$12,301,042 ",OKLAHOMA CITY,OK,6/30/2016
105,104,"CENTRAL BANCOMPANY, INC (1094314)","$12,292,830 ",JEFFERSON CITY,MO,6/30/2016
106,105,BANK OF THE OZARKS INC (1097089),"$12,279,579 ",LITTLE ROCK,AR,6/30/2016
107,106,"HAWAIIAN ELECTRIC INDUSTRIES, INC. (3842957)","$11,979,239 ",HONOLULU,HI,6/30/2016
108,107,INTERNATIONAL BANCSHARES CORPORATION (1104231),"$11,776,640 ",LAREDO,TX,6/30/2016
109,108,"GREAT WESTERN BANCORP, INC. (4809920)","$11,453,222 ",SIOUX FALLS,SD,6/30/2016
110,109,BREMER FINANCIAL CORPORATION (1020180),"$11,340,612 ",SAINT PAUL,MN,6/30/2016
111,110,"FIRST MIDWEST BANCORP, INC. (1208184)","$10,995,810 ",ITASCA,IL,6/30/2016
112,111,COUNTRY LIFE INSURANCE COMPANY (3825204),"$10,264,654 ",BLOOMINGTON,IL,6/30/2016
113,112,"BANC OF CALIFORNIA, INC. (3153130)","$10,157,662 ",IRVINE,CA,6/30/2016
114,113,EASTERN BANK CORPORATION (1427239),"$10,025,463 ",BOSTON,MA,6/30/2016
210,1,JPMORGAN CHASE & CO. (1039502),"$2,423,808,000 ",NEW YORK,NY,3/31/2016
310,2,BANK OF AMERICA CORPORATION (1073757),"$2,188,633,000 ",CHARLOTTE,NC,3/31/2016
410,3,WELLS FARGO & COMPANY (1120754),"$1,849,182,000 ",SAN FRANCISCO,CA,3/31/2016
510,4,CITIGROUP INC. (1951350),"$1,800,967,000 ",NEW YORK,NY,3/31/2016
610,5,"GOLDMAN SACHS GROUP, INC., THE (2380443)","$878,102,000 ",NEW YORK,NY,3/31/2016
710,6,MORGAN STANLEY (2162966),"$807,497,000 ",NEW YORK,NY,3/31/2016
810,7,U.S. BANCORP (1119794),"$428,638,000 ",MINNEAPOLIS,MN,3/31/2016
910,8,"BANK OF NEW YORK MELLON CORPORATION, THE (3587146)","$372,870,000 ",NEW YORK,NY,3/31/2016
1010,9,"PNC FINANCIAL SERVICES GROUP, INC., THE (1069778)","$361,187,040 ",PITTSBURGH,PA,3/31/2016
115,10,CAPITAL ONE FINANCIAL CORPORATION (2277860),"$330,489,235 ",MCLEAN,VA,3/31/2016
121,11,HSBC NORTH AMERICA HOLDINGS INC. (3232316),"$289,057,276 ",NEW YORK,NY,3/31/2016
131,12,"GE CAPITAL GLOBAL HOLDINGS, LLC (4932239)","$287,622,464 ",NORWALK,CT,3/31/2016
141,13,TD GROUP US HOLDINGS LLC (3606542),"$274,386,676 ",WILMINGTON,DE,3/31/2016
151,14,TEACHERS INSURANCE & ANNUITY ASSOCIATION OF AMERICA (1607170),"$272,101,594 ",NEW YORK,NY,3/31/2016
