Rank,Institution Name (RSSD ID),Location,Total Assets,Quarter
1,JPMORGAN CHASE & CO. (1039502),"NEW YORK, NY","$2,466,096,000 ",20160630
2,BANK OF AMERICA CORPORATION (1073757),"CHARLOTTE, NC","$2,189,811,000 ",20160630
3,WELLS FARGO & COMPANY (1120754),"SAN FRANCISCO, CA","$1,889,235,000 ",20160630
4,CITIGROUP INC. (1951350),"NEW YORK, NY","$1,818,771,000 ",20160630
5,"GOLDMAN SACHS GROUP, INC., THE (2380443)","NEW YORK, NY","$896,870,000 ",20160630
6,MORGAN STANLEY (2162966),"NEW YORK, NY","$828,873,000 ",20160630
7,U.S. BANCORP (1119794),"MINNEAPOLIS, MN","$438,463,000 ",20160630
8,"BANK OF NEW YORK MELLON CORPORATION, THE (3587146)","NEW YORK, NY","$372,351,000 ",20160630
9,"PNC FINANCIAL SERVICES GROUP, INC., THE (1069778)","PITTSBURGH, PA","$361,528,406 ",20160630
10,CAPITAL ONE FINANCIAL CORPORATION (2277860),"MCLEAN, VA","$339,247,718 ",20160630
11,HSBC NORTH AMERICA HOLDINGS INC. (3232316),"NEW YORK, NY","$295,534,689 ",20160630
12,TD GROUP US HOLDINGS LLC (3606542),"WILMINGTON, DE","$276,317,370 ",20160630
13,TEACHERS INSURANCE & ANNUITY ASSOCIATION OF AMERICA (1607170),"NEW YORK, NY","$276,045,408 ",20160630
14,STATE STREET CORPORATION (1111435),"BOSTON, MA","$255,396,733 ",20160630
15,BB&T CORPORATION (1074156),"WINSTON SALEM, NC","$221,858,615 ",20160630
16,"SUNTRUST BANKS, INC. (1131787)","ATLANTA, GA","$199,276,480 ",20160630
17,"CHARLES SCHWAB CORPORATION, THE (1026632)","SAN FRANCISCO, CA","$198,052,000 ",20160630
18,AMERICAN EXPRESS COMPANY (1275216),"NEW YORK, NY","$159,632,000 ",20160630
19,ALLY FINANCIAL INC. (1562859),"DETROIT, MI","$157,931,000 ",20160630
20,RBC USA HOLDCO CORPORATION (3226762),"NEW YORK, NY","$151,710,605 ",20160630
21,"CITIZENS FINANCIAL GROUP, INC. (1132449)","PROVIDENCE, RI","$145,568,297 ",20160630
22,UNITED SERVICES AUTOMOBILE ASSOCIATION (1447376),"SAN ANTONIO, TX","$144,819,412 ",20160630
23,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY (3840207),"BLOOMINGTON, IL","$143,801,553 ",20160630
24,FIFTH THIRD BANCORP (1070345),"CINCINNATI, OH","$143,625,325 ",20160630
25,BMO FINANCIAL CORP. (1245415),"WILMINGTON, DE","$132,007,952 ",20160630
26,"SANTANDER HOLDINGS USA, INC. (3981856)","BOSTON, MA","$126,502,203 ",20160630
27,REGIONS FINANCIAL CORPORATION (3242838),"BIRMINGHAM, AL","$126,378,482 ",20160630
28,M&T BANK CORPORATION (1037003),"BUFFALO, NY","$123,820,584 ",20160630
29,NORTHERN TRUST CORPORATION (1199611),"CHICAGO, IL","$121,509,559 ",20160630
30,MUFG AMERICAS HOLDINGS CORPORATION (1378434),"NEW YORK, NY","$117,205,079 ",20160630
31,KEYCORP (1068025),"CLEVELAND, OH","$101,406,977 ",20160630
32,"BBVA COMPASS BANCSHARES, INC. (1078529)","HOUSTON, TX","$91,753,156 ",20160630
33,DISCOVER FINANCIAL SERVICES (3846375),"RIVERWOODS, IL","$87,511,328 ",20160630
34,SYNCHRONY FINANCIAL (4504654),"STAMFORD, CT","$82,384,173 ",20160630
35,BANCWEST HOLDING INC. (4989420),"SAN FRANCISCO, CA","$80,624,408 ",20160630
36,HUNTINGTON BANCSHARES INCORPORATED (1068191),"COLUMBUS, OH","$73,954,016 ",20160630
37,COMERICA INCORPORATED (1199844),"DALLAS, TX","$71,440,155 ",20160630
38,CIT GROUP INC. (1036967),"LIVINGSTON, NJ","$66,783,624 ",20160630
39,ZIONS BANCORPORATION (1027004),"SALT LAKE CITY, UT","$59,642,992 ",20160630
40,DEUTSCHE BANK TRUST CORPORATION (1032473),"NEW YORK, NY","$54,629,000 ",20160630
41,E*TRADE FINANCIAL CORPORATION (3412583),"NEW YORK, NY","$49,202,038 ",20160630
42,"NEW YORK COMMUNITY BANCORP, INC. (2132932)","WESTBURY, NY","$49,035,747 ",20160630
43,SVB FINANCIAL GROUP (1031449),"SANTA CLARA, CA","$43,147,945 ",20160630
44,"PEOPLE'S UNITED FINANCIAL, INC. (3650152)","BRIDGEPORT, CT","$40,120,118 ",20160630
45,"FIRST NIAGARA FINANCIAL GROUP, INC. (2648693)","BUFFALO, NY","$39,998,293 ",20160630
46,MUTUAL OF OMAHA INSURANCE COMPANY (1583836),"OMAHA, NE","$38,009,856 ",20160630
47,"POPULAR, INC. (1129382)","SAN JUAN, PR","$37,606,000 ",20160630
48,NATIONWIDE MUTUAL INSURANCE COMPANY (3828072),"COLUMBUS, OH","$36,667,697 ",20160630
49,JOHN DEERE CAPITAL CORPORATION (3843075),"RENO, NV","$35,453,189 ",20160630
50,"EAST WEST BANCORP, INC. (2734233)","PASADENA, CA","$32,952,138 ",20160630
51,"FIRST CITIZENS BANCSHARES, INC. (1075612)","RALEIGH, NC","$32,230,403 ",20160630
52,BOK FINANCIAL CORPORATION (1883693),"TULSA, OK","$32,050,291 ",20160630
53,BARCLAYS DELAWARE HOLDINGS LLC (2938451),"WILMINGTON, DE","$29,672,671 ",20160630
54,SYNOVUS FINANCIAL CORP. (1078846),"COLUMBUS, GA","$29,459,691 ",20160630
55,ASSOCIATED BANC-CORP (1199563),"GREEN BAY, WI","$29,038,699 ",20160630
56,"CULLEN/FROST BANKERS, INC. (1102367)","SAN ANTONIO, TX","$29,014,585 ",20160630
57,"RAYMOND JAMES FINANCIAL, INC. (3815157)","SAINT PETERSBURG, FL","$28,841,247 ",20160630
58,FIRST HORIZON NATIONAL CORPORATION (1094640),"MEMPHIS, TN","$27,541,899 ",20160630
59,EVERBANK FINANCIAL CORP (3838857),"JACKSONVILLE, FL","$27,354,310 ",20160630
60,"BANKUNITED, INC. (4028712)","MIAMI LAKES, FL","$26,309,192 ",20160630
61,FIRSTMERIT CORPORATION (1070804),"AKRON, OH","$26,153,691 ",20160630
62,"UTRECHT-AMERICA HOLDINGS, INC. (2307280)","NEW YORK, NY","$25,363,698 ",20160630
63,WEBSTER FINANCIAL CORPORATION (1145476),"WATERBURY, CT","$25,131,298 ",20160630
64,"COMMERCE BANCSHARES, INC. (1049341)","KANSAS CITY, MO","$24,726,507 ",20160630
65,WINTRUST FINANCIAL CORPORATION (2260406),"ROSEMONT, IL","$24,427,295 ",20160630
66,UMPQUA HOLDINGS CORPORATION (2747644),"PORTLAND, OR","$24,132,600 ",20160630
67,HANCOCK HOLDING COMPANY (1086533),"GULFPORT, MS","$23,071,656 ",20160630
68,"SCOTTRADE FINANCIAL SERVICES, INC. (3242735)","TOWN AND COUNTRY, MO","$22,466,924 ",20160630
69,"PROSPERITY BANCSHARES, INC. (1109599)","HOUSTON, TX","$21,880,979 ",20160630
70,VALLEY NATIONAL BANCORP (1048773),"WAYNE, NJ","$21,809,738 ",20160630
71,"INVESTORS BANCORP, INC. (2477754)","SHORT HILLS, NJ","$21,733,831 ",20160630
72,F.N.B. CORPORATION (3005332),"PITTSBURGH, PA","$21,214,967 ",20160630
73,PACWEST BANCORP (2875332),"BEVERLY HILLS, CA","$21,147,143 ",20160630
74,TCF FINANCIAL CORPORATION (2389941),"WAYZATA, MN","$21,081,736 ",20160630
75,"TEXAS CAPITAL BANCSHARES, INC. (2706735)","DALLAS, TX","$21,081,024 ",20160630
76,"MACY'S, INC. (4103310)","CINCINNATI, OH","$20,197,613 ",20160630
77,IBERIABANK CORPORATION (2291914),"LAFAYETTE, LA","$20,160,855 ",20160630
78,UMB FINANCIAL CORPORATION (1049828),"KANSAS CITY, MO","$19,734,076 ",20160630
79,"FIRST HAWAIIAN, INC. (1025608)","HONOLULU, HI","$19,052,593 ",20160630
80,"FIRST NATIONAL OF NEBRASKA, INC. (1020902)","OMAHA, NE","$18,783,090 ",20160630
81,FULTON FINANCIAL CORPORATION (1117129),"LANCASTER, PA","$18,433,910 ",20160630
